last_name,first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
Siri, Jose,642350,139,TB,CF,26,95,46,4.20,30.4
Mitchell, Garrett,669003,158,MIL,CF,23,20,11,4.01,30.2
Bernard, Wynton,592144,115,COL,CF,31,23,14,4.08,30.1
Rodríguez, Julio,677594,136,SEA,CF,21,205,75,4.24,29.8
Hill, Derek,656537,116,DET,CF,26,29,15,4.23,29.7
Sierra, Magneuris,642423,108,LAA,CF,26,33,14,4.07,29.6
Vierling, Matt,663837,143,PHI,CF,25,112,21,4.34,29.6
Quinn, Roman,596451,139,TB,CF,29,13,10,,29.6
Hampson, Garrett,641658,115,COL,CF,27,78,23,4.25,29.5
Taveras, Leody,665750,140,TEX,CF,23,105,31,4.21,29.5
Azocar, José,640492,135,SD,CF,26,87,21,4.34,29.5
Harris II, Michael,671739,144,ATL,CF,21,213,47,4.22,29.4
Thomas, Lane,657041,120,WSH,CF,26,185,39,4.38,29.4
Trout, Mike,545361,108,LAA,CF,30,106,27,4.30,29.4
Thomas, Alek,677950,109,AZ,CF,22,192,11,4.13,29.4
McKenna, Ryan,663630,110,BAL,CF,25,64,10,4.20,29.4
Straw, Myles,664702,114,CLE,CF,27,250,50,4.14,29.3
Benson, Will,666181,114,CLE,CF,24,21,2,4.33,29.3
Zimmer, Bradley,605548,141,TOR,CF,29,34,8,4.23,29.2
Duran, Jarren,680776,111,BOS,CF,25,90,14,4.13,29.2
Kiermaier, Kevin,595281,139,TB,CF,32,91,5,4.12,29.2
Bader, Harrison,664056,147,NYY,CF,28,117,17,4.27,29.1
Engel, Adam,641553,145,CWS,CF,30,83,9,4.20,29.1
Buxton, Byron,621439,142,MIN,CF,28,82,23,4.16,29.1
Bae, Ji Hwan,678225,134,PIT,CF,22,22,5,,29.0
Brinson, Lewis,621446,137,SF,CF,28,10,1,,28.9
Meyers, Jake,676694,117,HOU,CF,26,57,1,4.35,28.9
Phillips, Brett,621433,110,BAL,CF,28,46,3,4.15,28.9
Morel, Christopher,666624,112,CHC,CF,23,143,6,4.38,28.8
Grisham, Trent,663757,135,SD,CF,25,160,8,4.35,28.8
Robles, Victor,645302,120,WSH,CF,25,122,27,4.36,28.7
Taylor, Michael A.,572191,118,KC,CF,31,138,15,4.26,28.7
Marisnick, Jake,545350,134,PIT,CF,31,24,2,,28.7
Senzel, Nick,669222,113,CIN,CF,27,143,2,4.41,28.7
Nimmo, Brandon,607043,121,NYM,CF,29,282,30,4.18,28.7
McCormick, Chas,676801,117,HOU,CF,27,132,5,4.27,28.6
Pache, Cristian,665506,133,OAK,CF,23,101,,4.39,28.6
Hermosillo, Michael,641684,112,CHC,CF,27,17,,,28.5
Mullins, Cedric,656775,110,BAL,CF,27,197,18,4.16,28.5
Taylor, Tyrone,621438,158,MIL,CF,28,139,2,4.50,28.5
Contreras, Mark,676628,142,MIN,CF,27,17,,4.35,28.4
Springer, George,543807,141,TOR,CF,32,205,2,4.37,28.3
Reynolds, Bryan,668804,134,PIT,CF,27,193,1,4.34,28.3
Cain, Lorenzo,456715,158,MIL,CF,36,64,2,4.40,28.3
Dubón, Mauricio,643289,117,HOU,CF,27,90,,4.28,28.2
Velázquez, Nelson,676369,112,CHC,CF,23,70,,4.43,28.2
Daza, Yonathan,602074,115,COL,CF,28,203,,4.35,28.2
Slater, Austin,596103,137,SF,CF,29,105,7,4.37,28.2
Moniak, Mickey,666160,108,LAA,CF,24,29,3,4.32,28.2
Burdick, Peyton,680814,146,MIA,CF,25,23,,4.43,28.1
Carlson, Dylan,666185,138,STL,CF,23,177,,4.32,28.1
Bellinger, Cody,641355,119,LAD,CF,26,128,2,4.23,28.1
Davis, Jonathan,641505,158,MIL,CF,30,30,,4.41,28.1
Duggar, Steven,621453,108,LAA,CF,28,15,,,28.0
Duvall, Adam,594807,144,ATL,CF,33,78,,4.46,27.9
Florial, Estevan,664314,147,NYY,CF,24,12,1,,27.9
Hicks, Aaron,543305,147,NYY,CF,32,116,,4.26,27.9
Celestino, Gilberto,665482,142,MIN,CF,23,151,1,4.50,27.9
Robert Jr., Luis,673357,145,CWS,CF,24,148,8,4.38,27.9
Haseley, Adam,656514,145,CWS,CF,26,14,1,,27.9
Bolt, Skye,621450,133,OAK,CF,28,37,1,4.45,27.8
De La Cruz, Bryan,650559,146,MIA,CF,25,116,1,4.52,27.8
Bleday, JJ,668709,146,MIA,CF,24,46,,4.41,27.8
Greene, Riley,682985,116,DET,CF,21,162,,4.29,27.7
Stevenson, Cal,670276,133,OAK,CF,25,20,,,27.7
Judge, Aaron,592450,147,NYY,CF,30,166,,4.66,27.3
Sánchez, Jesús,660821,146,MIA,CF,24,115,,4.48,27.3
Kelenic, Jarred,672284,136,SEA,CF,22,47,1,4.39,27.2
Ortega, Rafael,542364,112,CHC,CF,31,98,,4.53,27.0
Heyward, Jason,518792,112,CHC,CF,32,56,,4.43,27.0
Yastrzemski, Mike,573262,137,SF,CF,31,138,,4.41,27.0
Hernández, Enrique,571771,111,BOS,CF,30,131,,4.57,26.9
Herrera, Odúbel,546318,143,PHI,CF,30,74,1,4.28,26.9
Almonte, Abraham,501659,111,BOS,CF,33,12,,,26.1
